Designator,Mid X,Mid Y,Rotation,Layer
D1_2,263.9,-125.666667,270.0,top
D1,137.1,-125.666667,270.0,top
D10_2,156.1,-147.256667,270.0,top
D10,244.9,-147.256667,270.0,top
D11_2,244.9,-166.256667,270.0,top
D11,156.1,-166.256667,270.0,top
D12_2,309.4999994381594,-191.86666739816135,255.0,top
D12,91.50000056184061,-191.86666739816135,285.0,top
D13_2,98.9,-130.466667,270.0,top
D13,302.1,-130.466667,270.0,top
D14_2,98.9,-149.566667,270.0,top
D14,302.1,-149.566667,270.0,top
D15_2,98.9,-168.666667,270.0,top
D15,302.1,-168.666667,270.0,top
D16_2,225.9,-133.066667,270.0,top
D16,175.1,-133.066667,270.0,top
D17_2,225.9,-152.061667,270.0,top
D17,175.1,-152.061667,270.0,top
D18_2,225.9,-171.056667,270.0,top
D18,175.1,-171.056667,270.0,top
D19_2,194.1,-133.066667,270.0,top
D19,206.9,-133.066667,270.0,top
D2_2,136.9,-144.761667,270.0,top
D2,264.1,-144.761667,270.0,top
D20_2,206.9,-152.061667,270.0,top
D20,194.1,-152.061667,270.0,top
D21_2,206.9,-171.056667,270.0,top
D21,194.1,-171.056667,270.0,top
D3_2,137.1,-163.856667,270.0,top
D3,263.9,-163.856667,270.0,top
D4_2,114.1,-187.666667,270.0,top
D4,286.9,-187.666667,270.0,top
D5_2,117.9,-128.266667,270.0,top
D5,283.1,-128.266667,270.0,top
D6_2,283.1,-147.261667,270.0,top
D6,117.9,-147.261667,270.0,top
D7_2,117.9,-166.256667,270.0,top
D7,283.1,-166.256667,270.0,top
D8_2,79.5,-178.8666667884187,300.0,top
D8,321.5,-178.8666667884187,240.0,top
D9_2,156.1,-128.256667,270.0,top
D9,244.9,-128.256667,270.0,top
H1,200.5,-112.666667,90.0,top
H2_2,317.5,-113.666667,0.0,top
H2,83.5,-113.666667,0.0,top
H3,200.5,-135.0,90.0,top
H4_2,246.5,-188.666667,0.0,top
H4,154.5,-188.666667,0.0,top
H5,200.5,-156.333334,90.0,top
H6_2,209.5,-113.666667,0.0,top
H6,191.5,-113.666667,0.0,top
H7,200.5,-177.666667,90.0,top
H8_2,333.5,-153.666667,0.0,top
H8,67.5,-153.666667,0.0,top
R1_2,66.5,-134.666667,0.0,top
R1,334.5,-134.666667,0.0,bottom
R2_2,66.5,-140.666667,180.0,top
R2,334.5,-140.666667,180.0,bottom
SW1_2,272.6,-127.904167,0.0,top
SW1,126.6,-127.904167,0.0,top
SW10_2,145.65,-149.335417,0.0,top
SW10,253.55,-149.335417,0.0,top
SW11_2,145.65,-168.385417,0.0,top
SW11,253.55,-168.385417,0.0,top
SW12_2,100.32032417943782,-191.653793812771,15.0,top
SW12,298.9410093332419,-191.18791953158646,345.0,top
SW13_2,88.5,-132.666667,0.0,top
SW13,310.7,-132.666667,0.0,top
SW14_2,310.7,-151.716667,0.0,top
SW14,88.5,-151.716667,0.0,top
SW15_2,88.5,-170.766667,0.0,top
SW15,310.7,-170.766667,0.0,top
SW16_2,234.5,-135.047917,0.0,top
SW16,164.7,-135.047917,0.0,top
SW17_2,234.5,-154.097917,0.0,top
SW17,164.7,-154.097917,0.0,top
SW18_2,164.7,-173.147917,0.0,top
SW18,234.5,-173.147917,0.0,top
SW19_2,183.75,-135.143167,0.0,top
SW19,215.45,-135.143167,0.0,top
SW2_2,126.6,-146.954167,0.0,top
SW2,272.6,-146.954167,0.0,top
SW20_2,215.45,-154.193167,0.0,top
SW20,183.75,-154.193167,0.0,top
SW21_2,215.45,-173.243167,0.0,top
SW21,183.75,-173.243167,0.0,top
SW3_2,126.6,-166.004167,0.0,top
SW3,272.6,-166.004167,0.0,top
SW4_2,122.79,-189.816667,0.0,top
SW4,276.41,-189.816667,0.0,top
SW5_2,291.65,-130.285417,0.0,top
SW5,107.55,-130.285417,0.0,top
SW6_2,107.55,-149.335417,0.0,top
SW6,291.65,-149.335417,0.0,top
SW7_2,291.65,-168.385417,0.0,top
SW7,107.55,-168.385417,0.0,top
SW8_2,331.14610525323116,-185.533589863406,60.0,top
SW8,68.95389474676885,-183.97474413659398,300.0,top
SW9_2,253.55,-130.285417,0.0,top
SW9,145.65,-130.285417,0.0,top
U1_2,333.4725,-119.200867,0.0,top
U1,67.4725,-119.200867,0.0,top
